OBJECTID,STATE_NAME,ORIG_FID,lat,lon
229,Vermont,46,42.725852519130903,-71.505372307910122
230,Vermont,46,42.725852519130903,-73.436000691749143
231,Virginia,47,36.541623516788540,-83.675176793593764
232,Virginia,47,39.456998202238708,-83.675176793593764
233,Virginia,47,39.456998202238708,-75.242219292527622
234,Virginia,47,36.541623516788540,-75.242219292527622
235,Virginia,47,36.541623516788540,-83.675176793593764
236,Washington,48,45.543092792844178,-124.732769825416820
237,Washington,48,48.999931277239369,-124.732769825416820
238,Washington,48,48.999931277239369,-116.919132413840050
239,Washington,48,45.543092792844178,-116.919132413840050
240,Washington,48,45.543092792844178,-124.732769825416820
241,West Virginia,49,37.204910005122215,-82.647158214955837
242,West Virginia,49,40.637203217130228,-82.647158214955837
243,West Virginia,49,40.637203217130228,-77.727467524697190
244,West Virginia,49,37.204910005122215,-77.727467524697190
245,West Virginia,49,37.204910005122215,-82.647158214955837
246,Wisconsin,50,42.489152817466675,-92.885397388332166
247,Wisconsin,50,46.952479500151085,-92.885397388332166
248,Wisconsin,50,46.952479500151085,-86.967712291089470
249,Wisconsin,50,42.489152817466675,-86.967712291089470
250,Wisconsin,50,42.489152817466675,-92.885397388332166
251,Wyoming,51,40.994289186171386,-111.053428577549620
252,Wyoming,51,45.002792876159560,-111.053428577549620
253,Wyoming,51,45.002792876159560,-104.051705514986930
254,Wyoming,51,40.994289186171386,-104.051705514986930
255,Wyoming,51,40.994289186171386,-111.053428577549620
